Feature,Type,Importance,CI_Lower,CI_Upper,Error_Margin,Direction,Impact_Code,Component_A,Component_B,Normalized_Importance
person1_profession=high,Main Effect,0.33684504,0.3298108994960785,0.34476412162184716,0.007476611062884331,Negative (Promotes 0),NEG,person1_profession=high,-,0.041388296
person2_color=black,Main Effect,0.318742,0.3109245054423809,0.3264038346707821,0.0077396646142005865,Negative (Promotes 0),NEG,person2_color=black,-,0.039163966
person2_profession=high,Main Effect,0.30394062,0.295994708687067,0.3110003717243671,0.007502831518650055,Negative (Promotes 0),NEG,person2_profession=high,-,0.037345316
person1_color=black,Main Effect,0.29222992,0.2848736383020878,0.29933730214834214,0.00723183192312718,Negative (Promotes 0),NEG,person1_color=black,-,0.035906415
person1_gender=female,Main Effect,0.22520265,0.21920820735394955,0.23100107200443745,0.00589643232524395,Negative (Promotes 0),NEG,person1_gender=female,-,0.027670747
person2_gender=female,Main Effect,0.20215306,0.1959482129663229,0.20841071121394633,0.006231249123811719,Negative (Promotes 0),NEG,person2_gender=female,-,0.024838634
person3_profession=high,Main Effect,0.1977605,0.19127113595604897,0.2038026053458452,0.00626573469489812,Negative (Promotes 0),NEG,person3_profession=high,-,0.024298918
person3_gender=female,Main Effect,0.18970211,0.18375267647206783,0.19561874084174632,0.005933032184839246,Negative (Promotes 0),NEG,person3_gender=female,-,0.02330878
person3_color=black,Main Effect,0.17350778,0.16750131137669086,0.17937457337975501,0.005936631001532078,Negative (Promotes 0),NEG,person3_color=black,-,0.021318976
person2_color=black & person3_gender=female,Interaction,0.12987867,0.1257176913321018,0.13404472842812537,0.00416351854801178,Synergy (+),POS,person2_color=black,person3_gender=female,0.015958248
person1_gender=female & person2_gender=female,Interaction,0.12378217,0.12000428084284068,0.12752515710890294,0.0037604381330311326,Synergy (+),POS,person1_gender=female,person2_gender=female,0.015209169
quantity_level=1vs5,Main Effect,0.12000921,0.11490137819200755,0.12528743892908095,0.005193030368536702,Positive (Promotes 1),POS,quantity_level=1vs5,-,0.014745584
person1_profession=high & person2_color=black,Interaction,0.1073996,0.10385864097625017,0.11124499384313821,0.003693176433444023,Synergy (+),POS,person1_profession=high,person2_color=black,0.013196235
person1_color=black & person2_profession=high,Interaction,0.1067102,0.1035598611459136,0.10992221869528293,0.0031811787746846634,Synergy (+),POS,person1_color=black,person2_profession=high,0.013111529
person2_gender=female & person3_gender=female,Interaction,0.10591118,0.1025820268318057,0.10942643210291862,0.003422202635556461,Synergy (+),POS,person2_gender=female,person3_gender=female,0.013013353
person1_color=black & person1_profession=high,Interaction,0.105510786,0.10234076455235482,0.10890853311866522,0.0032838842831552015,Synergy (+),POS,person1_color=black,person1_profession=high,0.0129641555
person2_color=black & person2_gender=female,Interaction,0.10470906,0.10096620861440897,0.10873090475797653,0.003882348071783781,Synergy (+),POS,person2_color=black,person2_gender=female,0.012865647
person1_color=black & person3_gender=female,Interaction,0.103745975,0.09996867291629315,0.10738456677645444,0.003707946930080648,Interference (-),NEG,person1_color=black,person3_gender=female,0.012747313
person3_color=black & person3_gender=female,Interaction,0.10343865,0.10002722963690758,0.10718044973909854,0.003576610051095483,Interference (-),NEG,person3_color=black,person3_gender=female,0.0127095515
person2_profession=high & person2_gender=female,Interaction,0.10235853,0.09907405693084001,0.10554340351372957,0.0032346732914447784,Synergy (+),POS,person2_profession=high,person2_gender=female,0.012576836
person1_color=black & person3_color=black,Interaction,0.10199145,0.09854634907096624,0.10530486367642879,0.003379257302731274,Synergy (+),POS,person1_color=black,person3_color=black,0.012531733
person1_color=black & person2_gender=female,Interaction,0.10197186,0.09865724761039019,0.10508896633982659,0.0032158593647182016,Synergy (+),POS,person1_color=black,person2_gender=female,0.012529326
person1_profession=high & person2_gender=female,Interaction,0.10119998,0.0980888981372118,0.10465329848229885,0.00328220017254352,Synergy (+),POS,person1_profession=high,person2_gender=female,0.012434484
